RANK,BETTOR,UNIT,W,L,P,%,LDAY REC,LDAY UNITS,STRK,W/L/P REC,NOTES
1,Inferno Bets,73.39,175,153,0,50%,3-1,4.87,W1,30-22,
2,Build Your Bankroll,66.0,340,353,3,49%,5-15,-6.09,L1,35-28,
3,Straight Jazz,65.47,364,351,4,52%,-,0.0,W1,27-32,
4,Wordd Cam DFS,61.96,125,137,0,44%,2-1,4.72,W4,35-23,
5,T&Ste Betting Co,61.29,84,125,0,41%,0-1,-3.0,L8,20-31-1,
6,Utter Locks,49.84,71,50,1,61%,1-0,2.94,W2,28-18,
7,Wager Analyst,30.33,193,228,8,46%,2-3,1.33,W1,34-27-1,
8,Invest in Bets,28.04,118,146,1,47%,0-2,-6.0,L2,33-29,
9,AD2,26.88,321,201,2,65%,5-1,3.43,W6,38-24,
10,Hunnit Locks,24.66,102,72,0,58%,1-0,0.5,W3,25-19,
11,Stottys Locks,24.65,167,143,2,57%,3-0,3.5,W1,29-19,
12,Johnny Millz,24.39,216,195,3,52%,2-4,-1.13,L1,30-29-1,
13,Tredub Sports,23.72,71,62,2,53%,2-1,2.04,W1,26-20,
14,Chef Book,20.85,178,179,0,47%,3-0,8.66,W2,24-21-2,
15,Don Corleone Jones,17.14,212,195,0,51%,6-2,4.65,W1,27-27-1,
16,J Pet Bets,15.87,122,102,1,53%,2-0,1.57,W5,33-26,
17,Up-To-Date Sports,12.31,47,54,0,49%,2-1,3.0,W4,16-19,
18,Frankie Bones,3.21,132,127,3,50%,3-2,0.37,W3,21-21,
19,ANDACTIONBTB,2.51,72,101,1,37%,3-0,6.83,W8,32-26,
20,Average Guys Average Picks,2.11,135,139,3,49%,2-2,0.75,W1,20-27-1,
21,Balls Out Sports Bets,0.72,80,75,0,47%,-,0.0,L1,24-25,
21,Northwood Sports Picks,0.6,72,59,5,51%,1-1,0.23,W7,27-27,
22,Coach B,0.4,158,149,4,51%,1-2,-1.96,L3,27-34,
23,Spread Best Bets,-0.3,67,67,0,50%,2-1,0.9,W1,17-22-1,
24,Babbracadabra Sports Picks,-0.57,150,150,5,50%,3-3,-0.09,L2,29-30-1,
25,Staibo Bets LLC,-1.81,9,9,0,50%,-,0.0,W1,4-4,
26,606bets,-2.39,151,149,3,46%,1-3,-3.36,L3,26-33-1,
27,Bank Rolls Bets,-5.07,25,32,0,42%,-,0.0,W1,10-12,
28,Duck Duck Ca$h,-6.14,467,1099,2,29%,4-10,-5.07,L2,30-31,
29,Last Word Picks,-6.39,110,135,2,47%,0-2,-2.15,L3,21-19,
30,Dylans Daily Locks,-6.62,89,91,0,51%,1-0,1.0,W1,19-17-2,
31,Parlay Cookin Logie,-8.16,88,99,0,50%,0-4,-5.1,L4,20-25-1,
32,WizOfWagers,-8.9,294,265,4,52%,5-5,0.2,W1,29-33,
33,King Beaver,-9.42,50,57,1,40%,2-1-1,2.66,W3,8-9,
35,BJN Sports,-9.84,40,40,0,50%,0-1,-1.09,L1,18-18-1,
36,Bridge City Bets,-11.25,578,68,2,49%,-,0.0,L4,14-23-1,
37,Shnols Bets,-11.57,3,6,0,33%,-,0.0,L3,0-3,
38,The Luminary,-12.17,36,40,0,49%,-,0.0,L2,11-15,
39,Bettor in Green,-14.31,52,63,1,44%,-,0.0,W2,12-14-1,
40,West Coast Capper,-16.53,31,41,1,43%,-,0.0,L4,7-15,
41,Twin City Bets,-17.67,295,298,4,50%,5-3,2.45,W3,27-28,
42,Parlay Cookin Slingy,-18.72,211,219,9,51%,2-2,0.32,W1,27-30-5,
43,Group Gamblers,-19.94,124,130,0,50%,1-3,-3.1,L3,26-30,
44,Really Rico,-21.35,173,182,2,45%,3-1,3.54,W1,24-30,
45,Sean x Juice Room,-21.35,29,54,0,36%,1-0,3.62,W1,10-15,
46,Big Tex,-21.45,90,44,0,70%,-,0.0,W1,8-11,
47,Xay Picks,-26.72,98,130,2,41%,0-4,-6.15,L1,19-32,
48,Novadamus,-28.74,52,94,1,35%,0-4,-7.2,L4,8-17,
49,Blake Nitty,-40.24,112,114,0,50%,1-1,-0.05,L1,20-33,
50,Commonwealth Cappers,-67.68,91,132,0,40%,-,0.0,W1,13-24,
51,Common Sense Picks,-75.94,344,356,3,46%,13-10,0.32,W2,24-34,
