RANK,BETTOR,UNIT,W,L,P,%,LDAY REC,LDAY UNITS,STRK,W/L/P REC
1,Wager Analyst,115.93,396,380,11,48%,2-6,-5.75u,L4,67-42-1
2,Build Your Bankroll,113.96,660,710,7,48%,9-7,+2.88u,W1,63-48
3,Inferno Bets,73.85,335,313,1,51%,5-1,+9.57u,W2,60-39
4,Wordd Cam DFS,72.6,198,209,0,47%,-,-,W2,59-43
5,Utter Locks,62.63,106,79,2,57%,1-1,+0.57u,W1,42-30-1
6,Chef Book,61.8,260,247,0,50%,-,-,L1,41-33-3
7,Straight Jazz,46.88,553,585,7,51%,6-5,+1.30u,W1,46-55
8,T&Ste Betting Co,42.97,92,136,0,40%,-,-,L3,21-36-1
9,Talkn Ball,41.23,357,314,3,52%,-,-,W3,50-48-1
10,Tredub Sports,39.81,99,82,2,54%,-,-,L2,40-28
11,WizOfWagers,23.62,560,455,6,52%,6-3,+3.35u,W5,55-50-1
12,Stottys Locks,23.04,339,313,3,54%,3-1,+1.88u,W4,50-40
13,Frankie Bones,18.77,255,238,6,51%,-,-,W2,41-39
14,AD2,18.21,511,362,3,60%,-,-,W1,62-44
15,Invest in Bets,16.89,171,226,2,43%,1-1,+0.30u,W3,53-53
