Matchup,GameTime,Market Spread,Model Spread,Market Total,Model Total,ATS Pick,ATS Explanation,Total Pick,Total Explanation,Predicted Score,home_team,away_team,commence_time,spread_edge,total_edge,team_indicator,is_auto_bet,is_fade_team,ai_rating
San Antonio Spurs @ Philadelphia 76ers,03/03/26 08:10 PM EST,+8.0,-2.4,232.0,251.8,✅ BET: San Antonio Spurs -8.0,Model projects San Antonio Spurs to win this matchup. San Antonio Spurs covers -8.0.,✅ BET: OVER 232.0,"Model projects 252 total points, bet the OVER","San Antonio Spurs 127, Philadelphia 76ers 125",Philadelphia 76ers,San Antonio Spurs,2026-03-04T01:10:00Z,-10.4,19.80000000000001,"{'emoji': '✅', 'label': 'GOOD', 'color': '\x1b[92m', 'message': 'San Antonio Spurs - Good record: 2-1 (67%) | +0.72u over 3 picks'}",False,False,4.9
Charlotte Hornets @ Boston Celtics,03/04/26 07:40 PM EST,-6.0,+17.6,215.5,248.5,✅ BET: Boston Celtics -6.0,"Model projects Boston Celtics to win by 17.6, covering -6.0.",✅ BET: OVER 215.5,"Model projects 248 total points, bet the OVER","Charlotte Hornets 115, Boston Celtics 133",Boston Celtics,Charlotte Hornets,2026-03-05T00:40:00Z,23.6,33.0,"{'emoji': '✅', 'label': 'GOOD', 'color': '\x1b[92m', 'message': 'Boston Celtics - Good record: 11-6 (65%) | +4.40u over 17 picks'}",True,False,4.6
Brooklyn Nets @ Miami Heat,03/03/26 07:40 PM EST,-13.0,+12.0,226.0,248.3,✅ BET: Miami Heat -13.0,Model gives edge to Miami Heat to cover -13.0.,✅ BET: OVER 226.0,"Model projects 248 total points, bet the OVER","Brooklyn Nets 118, Miami Heat 130",Miami Heat,Brooklyn Nets,2026-03-04T00:40:00Z,25.0,22.30000000000001,"{'emoji': '🔥', 'label': 'HOT', 'color': '\x1b[92m', 'message': 'Miami Heat - Strong performer: 5-1 (83%) | +3.90u over 6 picks'}",True,False,4.6
Phoenix Suns @ Sacramento Kings,03/03/26 11:10 PM EST,+9.5,-5.0,223.0,247.9,✅ BET: Phoenix Suns -9.5,Model projects Phoenix Suns to win this matchup. Phoenix Suns covers -9.5.,✅ BET: OVER 223.0,"Model projects 248 total points, bet the OVER","Phoenix Suns 126, Sacramento Kings 121",Sacramento Kings,Phoenix Suns,2026-03-04T04:10:00Z,-14.5,24.900000000000006,"{'emoji': '🔥', 'label': 'HOT', 'color': '\x1b[92m', 'message': 'Phoenix Suns - Strong performer: 5-2 (71%) | +2.80u over 7 picks'}",True,False,4.6
New Orleans Pelicans @ Los Angeles Lakers,03/03/26 10:40 PM EST,-8.5,+15.3,242.5,257.9,✅ BET: Los Angeles Lakers -8.5,"Model projects Los Angeles Lakers to win by 15.3, covering -8.5.",✅ BET: OVER 242.5,"Model projects 258 total points, bet the OVER","New Orleans Pelicans 121, Los Angeles Lakers 137",Los Angeles Lakers,New Orleans Pelicans,2026-03-04T03:40:00Z,23.8,15.399999999999977,"{'emoji': '⚠️', 'label': 'CAUTION', 'color': '\x1b[93m', 'message': 'Los Angeles Lakers - Below average: 5-8 (38%) | -3.89u over 13 picks'}",False,True,4.5
Oklahoma City Thunder @ Chicago Bulls,03/03/26 08:10 PM EST,+9.5,-13.9,230.5,250.9,✅ BET: Oklahoma City Thunder -9.5,Model projects Oklahoma City Thunder to win this matchup. Oklahoma City Thunder covers -9.5.,✅ BET: OVER 230.5,"Model projects 251 total points, bet the OVER","Oklahoma City Thunder 132, Chicago Bulls 118",Chicago Bulls,Oklahoma City Thunder,2026-03-04T01:10:00Z,-23.4,20.400000000000006,"{'emoji': '📉', 'label': 'NEUTRAL-', 'color': '\x1b[93m', 'message': 'Oklahoma City Thunder - Slightly below average: 7-9 (44%) | -2.90u over 16 picks'}",False,True,4.5
New York Knicks @ Toronto Raptors,03/03/26 07:40 PM EST,+2.5,+2.4,221.5,248.7,⚠️ NO BET - Too close to call,Edge too small (-0.1),✅ BET: OVER 221.5,"Model projects 249 total points, bet the OVER","New York Knicks 123, Toronto Raptors 126",Toronto Raptors,New York Knicks,2026-03-04T00:40:00Z,-0.10000000000000009,27.19999999999999,,False,False,4.4
Memphis Grizzlies @ Minnesota Timberwolves,03/03/26 08:10 PM EST,-15.0,+11.4,237.5,242.6,✅ BET: Minnesota Timberwolves -15.0,Model gives edge to Minnesota Timberwolves to cover -15.0.,⚠️ NO BET - Too close to call,,"Memphis Grizzlies 116, Minnesota Timberwolves 127",Minnesota Timberwolves,Memphis Grizzlies,2026-03-04T01:10:00Z,26.4,5.099999999999994,"{'emoji': '➖', 'label': 'NEUTRAL', 'color': '\x1b[0m', 'message': 'Minnesota Timberwolves - Average performance: 6-6 (50%) | -0.69u over 12 picks'}",False,False,4.4
Oklahoma City Thunder @ New York Knicks,03/04/26 07:10 PM EST,+4.0,+2.1,223.5,249.6,⚠️ NO BET - Too close to call,Edge too small (-1.9),✅ BET: OVER 223.5,"Model projects 250 total points, bet the OVER","Oklahoma City Thunder 124, New York Knicks 126",New York Knicks,Oklahoma City Thunder,2026-03-05T00:10:00Z,-1.9,26.099999999999994,,False,False,4.4
Atlanta Hawks @ Milwaukee Bucks,03/04/26 09:40 PM EST,+1.5,+1.3,231.5,255.0,⚠️ NO BET - Too close to call,Edge too small (-0.2),✅ BET: OVER 231.5,"Model projects 255 total points, bet the OVER","Atlanta Hawks 127, Milwaukee Bucks 128",Milwaukee Bucks,Atlanta Hawks,2026-03-05T02:40:00Z,-0.19999999999999996,23.5,,False,False,4.4
